iter	MAPE	RMSE
0	0.3135391099	0.7309977267
1	0.3062290802	0.714301205
2	0.2991079472	0.6973624247
3	0.291846186	0.6806206675
4	0.2852476952	0.6649845792
5	0.2785242451	0.6494982462
6	0.2718324702	0.6339960714
7	0.2655069717	0.6199052622
8	0.2592033253	0.6052748596
9	0.2533455305	0.5918413057
10	0.2477239915	0.5785452127
11	0.24182173	0.565376437
12	0.2365774932	0.5529268891
13	0.2312230639	0.5405319772
14	0.2262161734	0.5289437651
15	0.2213003101	0.5180037412
16	0.2162409358	0.5064888883
17	0.2115746184	0.4958490602
18	0.2072758364	0.4856734878
19	0.2032250127	0.4762807272
20	0.1987813909	0.4661266825
21	0.1945699589	0.4565004504
22	0.1903844111	0.4468406718
23	0.1864479578	0.4376661162
24	0.1828036005	0.4292958336
25	0.1790900313	0.4207757862
26	0.1754525683	0.4123588053
27	0.1719420721	0.404257909
28	0.1684161123	0.3962304231
29	0.1651167784	0.3886829822
30	0.1618928088	0.3811240715
31	0.1588914513	0.3744858407
32	0.1559261754	0.3675783495
33	0.1531574953	0.361012639
34	0.1504472733	0.3546709181
35	0.1477919072	0.3484965582
36	0.145150622	0.3424234743
37	0.1425455748	0.3364574962
38	0.1401334256	0.3308926455
39	0.1379226158	0.3257976516
40	0.1355122275	0.3202103549
41	0.1333958952	0.3153179256
42	0.13109689	0.3100770593
43	0.1289817418	0.305107256
44	0.1269311895	0.3003231075
45	0.1250295477	0.2959510911
46	0.1232319447	0.2917133985
47	0.1214861914	0.2875536551
48	0.119646253	0.2833305049
49	0.1179236018	0.2792672805
50	0.1162470922	0.2752089901
51	0.1144767801	0.2712646783
52	0.1129170294	0.2675736397
53	0.1112276412	0.2635690237
54	0.1097500169	0.2601725575
55	0.1083011723	0.256739449
56	0.106877765	0.2534093721
57	0.1054691285	0.2501460633
58	0.1041819296	0.2472002592
59	0.1030674838	0.2444111422
60	0.1018039444	0.2413141257
61	0.1005672485	0.2383279943
62	0.09950260607	0.2355848681
63	0.09855361331	0.2331688609
64	0.09750109612	0.2305044272
65	0.09643391559	0.2279859573
66	0.09534564783	0.2255372811
67	0.09438588082	0.2232625941
68	0.0934084955	0.2208728083
69	0.09257869374	0.2188278477
70	0.09165560205	0.2166654044
71	0.09086716074	0.2146999075
72	0.09001628157	0.2127191633
73	0.08913379188	0.2106532962
74	0.08834112186	0.2087606322
75	0.08753746013	0.2069185149
76	0.08673606822	0.205027784
77	0.08600218061	0.2032931141
78	0.08524663998	0.2015784844
79	0.08450599407	0.1998610806
80	0.08381414208	0.1982221249
81	0.08314678115	0.1966674541
82	0.08252250256	0.1952186851
83	0.08180253824	0.1935527579
84	0.08121512662	0.1921624834
85	0.08067478426	0.190880219
86	0.08012201617	0.189553058
87	0.07954033568	0.1881209694
88	0.07897548934	0.1868690879
89	0.07847997125	0.1857376215
90	0.07804026349	0.1845622905
91	0.07751503063	0.1833459237
92	0.07696088967	0.1820698226
93	0.07647706167	0.1809370331
94	0.07601251214	0.179816985
95	0.07558436036	0.1787358597
